from,to,dist
A Coruña,A Coruña,0.0
A Coruña,Albacete,724.8566505102697
A Coruña,Alicante/Alacant,846.2121629642453
A Coruña,Almería,840.6159432006446
A Coruña,Asturias,203.99486628326036
A Coruña,Badajoz,532.1453759262387
A Coruña,Barcelona,876.6491343395347
A Coruña,Burgos,410.21711891709754
A Coruña,Cantabria,367.1358545516816
A Coruña,Castellón/Castelló,762.2017055377144
A Coruña,Ceuta,849.5022207531235
A Coruña,Ciudad Real,612.1663325475693
A Coruña,Cuenca,629.6636223930277
A Coruña,Cáceres,417.0063359048735
A Coruña,Cádiz,763.616874481958
A Coruña,Córdoba,661.061201911691
A Coruña,Girona,925.4641997450437
A Coruña,Granada,788.5698224871732
A Coruña,Guadalajara,541.3161745815707
A Coruña,Guipúzcoa,510.8316811502312
A Coruña,Huelva,628.3249918771645
A Coruña,Huesca,698.6185253851461
A Coruña,Illes Balears,1026.9291152374224
A Coruña,Jaén,712.1737192580991
A Coruña,La Rioja,486.08615797568416
A Coruña,León,228.31017038386722
A Coruña,Lleida,789.5850987410006
A Coruña,Lugo,84.0125834878527
A Coruña,Madrid,488.97892020404714
A Coruña,Melilla,992.9067045016762
A Coruña,Murcia,831.0857605407799
A Coruña,Málaga,776.6264249872139
A Coruña,Navarra,550.526986143243
A Coruña,Ourense,117.05796957069504
A Coruña,Palencia,333.70161334432385
A Coruña,Pontevedra,84.57042882087856
A Coruña,Salamanca,332.26541196284995
A Coruña,Segovia,423.9999480393233
A Coruña,Sevilla,677.4531711851439
A Coruña,Soria,514.8212107008474
A Coruña,Tarragona,808.3802550649634
A Coruña,Teruel,686.0350676546361
A Coruña,Toledo,502.6098343413379
A Coruña,Valencia/València,788.3750665143486
A Coruña,Valladolid,341.7750290822735
A Coruña,Vizcaya,459.1201763107837
A Coruña,Zamora,265.0198030083705
A Coruña,Zaragoza,616.4753884810918
A Coruña,Álava,473.0589606472484
A Coruña,Ávila,401.0531930401987
Albacete,A Coruña,724.8566505102697
Albacete,Albacete,0.0
Albacete,Alicante/Alacant,133.16794527952538
Albacete,Almería,198.37316356346352
Albacete,Asturias,602.4117326381419
Albacete,Badajoz,368.49080392662
Albacete,Barcelona,456.300747907717
Albacete,Burgos,400.0754824549232
